customer_id,recency_days,frequency,monetary,avg_order_value,total_interactions,last_interaction_days,interaction_types_count,engagement_segment,has_purchased,engaged_not_purchased,purchase_frequency_rate,interaction_purchase_ratio,customer_segment,location,acquisition_channel,age,gender
C00001,21,31,482863.71,15576.248709677418,335,7,4,High Engagement,1,0,0,10,medium,Bhubaneswar,ads,25,male
C00002,9,45,820236.81,18227.484666666667,389,4,4,High Engagement,1,0,0,8,high,Hyderabad,referral,47,female
C00003,550,0,0.0,0.0,8,517,4,Medium Engagement,0,1,0,0,low,Ahmedabad,organic,46,female
C00004,10,31,537397.24,17335.394838709675,319,9,4,High Engagement,1,0,0,10,medium,Bangalore,organic,38,male
C00005,4,95,1556310.1,16382.211578947368,752,0,4,High Engagement,1,0,0,7,high,Hyderabad,referral,37,female
C00006,7,17,150210.71,8835.924117647059,99,2,4,High Engagement,1,0,0,5,high,Chennai,ads,29,male
C00007,1,124,2812844.88,22684.232903225806,824,1,4,High Engagement,1,0,0,6,high,Bhubaneswar,ads,27,female
C00008,3,22,160599.06,7299.9572727272725,182,0,4,High Engagement,1,0,0,8,high,Kolkata,ads,31,other
C00009,34,29,591036.49,20380.568620689653,328,4,4,High Engagement,1,0,0,11,medium,Kolkata,ads,19,female
C00010,354,0,0.0,0.0,35,122,4,High Engagement,0,1,0,0,low,Jaipur,ads,37,female
C00011,4,76,1184279.97,15582.631184210526,617,0,4,High Engagement,1,0,0,8,high,Jaipur,referral,35,female
C00012,11,70,1390479.04,19863.986285714287,539,0,4,High Engagement,1,0,0,7,high,Chennai,ads,25,female
C00013,19,13,319208.09,24554.46846153846,186,1,4,High Engagement,1,0,0,14,medium,Hyderabad,organic,50,female
C00014,733,0,0.0,0.0,8,700,4,Medium Engagement,0,1,0,0,low,Kolkata,ads,41,male
C00015,13,14,213353.44,15239.531428571428,189,0,4,High Engagement,1,0,0,13,medium,Mumbai,ads,41,male
C00016,86,28,266889.03,9531.75107142857,276,3,4,High Engagement,1,0,0,9,medium,Mumbai,ads,30,female
C00017,82,6,31365.09,5227.515,64,7,4,High Engagement,1,0,0,10,medium,Bangalore,ads,34,male
C00018,51,25,366317.27,14652.6908,321,4,4,High Engagement,1,0,0,12,medium,Mumbai,organic,41,female
C00019,3,23,391763.84,17033.21043478261,159,1,4,High Engagement,1,0,0,6,high,Delhi,ads,36,female
C00020,512,0,0.0,0.0,14,462,4,Medium Engagement,0,1,0,0,low,Bhubaneswar,ads,51,male
C00021,8,15,143748.9,9583.26,220,0,4,High Engagement,1,0,0,14,medium,Chennai,ads,32,male
C00022,4,12,137487.04,11457.253333333332,165,0,4,High Engagement,1,0,0,13,medium,Jaipur,ads,29,female
C00023,400,1,31537.0,31537.0,9,372,3,Medium Engagement,1,0,0,9,low,Delhi,organic,41,female
C00024,123,10,160905.78,16090.578,178,2,4,High Engagement,1,0,0,17,medium,Ahmedabad,ads,22,male
C00025,2,29,424884.09,14651.17551724138,284,0,4,High Engagement,1,0,0,9,medium,Bhubaneswar,ads,44,female
C00026,41,13,324082.38,24929.413846153846,254,1,4,High Engagement,1,0,0,19,medium,Kolkata,ads,21,female
C00027,1,73,1515555.37,20761.032465753426,678,0,4,High Engagement,1,0,0,9,high,Bhubaneswar,ads,41,female
C00028,9,44,586621.18,13332.299545454545,336,0,4,High Engagement,1,0,0,7,high,Jaipur,ads,28,female
C00029,3,27,492976.23,18258.37888888889,245,0,4,High Engagement,1,0,0,9,medium,Pune,organic,39,male
