customer_id,final_score,churn_prob,purchase_prob,expected_revenue,selected,customer_segment,engagement_segment,age,gender,location,acquisition_channel
C00001,91419.98954931724,0.1833607415369305,0.7892937175060516,111946.6013933391,1,medium,High Engagement,25,male,Bhubaneswar,ads
C00002,58380.466439060365,0.1979612226091719,0.9751296823017304,72790.07958814934,1,high,High Engagement,47,female,Hyderabad,referral
C00003,50682.06299783555,0.0247466107862095,0.9919196519046632,51968.09727438462,1,low,Medium Engagement,46,female,Ahmedabad,organic
C00004,47741.53701062634,0.0162665912013712,0.9940755158203944,48530.9704678324,1,medium,High Engagement,38,male,Bangalore,organic
C00005,47150.75730101233,0.0172464093916638,0.9077766161350284,47978.20913767962,1,high,High Engagement,37,female,Hyderabad,referral
C00006,44356.37308388589,0.0521611193292808,0.990116865953227,46797.37663061257,1,high,High Engagement,29,male,Chennai,ads
C00007,43190.27170592605,0.0508663822575812,0.953593410979684,45504.94355964037,1,high,High Engagement,27,female,Bhubaneswar,ads
C00008,43148.54316545736,0.0044698424269172,0.9942336857950118,43342.2763109914,1,high,High Engagement,31,other,Kolkata,ads
C00009,42178.0948384489,0.0008611382571931,0.9992682584321044,42214.44731403729,1,medium,High Engagement,19,female,Kolkata,ads
C00010,37941.55897839347,0.1596539458331424,0.9692911756545936,45149.92221390244,1,low,High Engagement,37,female,Jaipur,ads
C00011,37135.2494162625,0.0265492756349285,0.973567030873595,38148.05257912134,1,high,High Engagement,35,female,Jaipur,referral
C00012,37106.97125866956,0.0387911535207421,0.991510480999711,38604.4837129683,1,high,High Engagement,25,female,Chennai,ads
C00013,36103.367297321005,0.1721724739959016,0.9130466617128544,43612.18510284504,1,medium,High Engagement,50,female,Hyderabad,organic
C00014,35789.7649221246,0.0600601008341623,0.986794481500403,38076.652511385786,1,low,Medium Engagement,41,male,Kolkata,ads
C00015,34923.851541989505,0.0007243739857769,0.9952451628644942,34949.1678099756,1,medium,High Engagement,41,male,Mumbai,ads
C00016,34921.0831346048,0.0022160908491943,0.9984144437879152,34998.643307773375,1,medium,High Engagement,30,female,Mumbai,ads
C00017,34168.46172530145,1.7636947931766895e-09,0.9999962963711608,34168.461785564185,1,medium,High Engagement,34,male,Bangalore,ads
C00018,33945.29244423994,6.075203500914355e-06,0.9996922652503624,33945.4986700523,1,medium,High Engagement,41,female,Mumbai,organic
C00019,33912.84548051808,0.0972326966845417,0.9574405556576154,37565.43392297379,1,high,High Engagement,36,female,Delhi,ads
C00020,33907.24747696045,0.0356289076616745,0.9867658818766244,35159.95838774576,1,low,Medium Engagement,51,male,Bhubaneswar,ads
C00021,33757.93876671652,9.13673841785226e-05,0.9995147079769816,33761.02342311388,1,medium,High Engagement,32,male,Chennai,ads
C00022,33509.4761679113,0.0205887868615222,0.9577408904000436,34213.898838805144,1,medium,High Engagement,29,female,Jaipur,ads
C00023,33282.44570668024,0.415135557919912,0.7124338982730031,56906.25606903067,1,low,Medium Engagement,41,female,Delhi,organic
C00024,32951.12645917092,0.0070670981901992,0.9934211099301878,33185.652725487795,1,medium,High Engagement,22,male,Ahmedabad,ads
C00025,32783.80901238926,3.9276053541618894e-05,0.9998258218163962,32785.09668160189,1,medium,High Engagement,44,female,Bhubaneswar,ads
C00026,32749.65856036953,0.0031556571338541,0.9988885530758046,32853.33241317004,1,medium,High Engagement,21,female,Kolkata,ads
