frequency,monetary,avg_order_value,total_interactions,interaction_types_count,engagement_segment,engaged_not_purchased,purchase_frequency_rate,interaction_purchase_ratio,customer_segment,location,acquisition_channel,age,gender,is_churned,will_purchase
31,482863.71,15576.248709677418,335,4,High Engagement,0,0,10,medium,Bhubaneswar,ads,25,male,0,1
45,820236.81,18227.484666666667,389,4,High Engagement,0,0,8,high,Hyderabad,referral,47,female,0,1
0,0.0,0.0,8,4,Medium Engagement,1,0,0,low,Ahmedabad,organic,46,female,0,0
31,537397.24,17335.394838709675,319,4,High Engagement,0,0,10,medium,Bangalore,organic,38,male,0,1
95,1556310.1,16382.211578947368,752,4,High Engagement,0,0,7,high,Hyderabad,referral,37,female,0,1
17,150210.71,8835.924117647059,99,4,High Engagement,0,0,5,high,Chennai,ads,29,male,0,1
124,2812844.88,22684.23290322581,824,4,High Engagement,0,0,6,high,Bhubaneswar,ads,27,female,0,1
22,160599.06,7299.957272727272,182,4,High Engagement,0,0,8,high,Kolkata,ads,31,other,0,1
29,591036.49,20380.568620689653,328,4,High Engagement,0,0,11,medium,Kolkata,ads,19,female,0,1
0,0.0,0.0,35,4,High Engagement,1,0,0,low,Jaipur,ads,37,female,0,0
76,1184279.97,15582.631184210526,617,4,High Engagement,0,0,8,high,Jaipur,referral,35,female,0,1
70,1390479.04,19863.986285714287,539,4,High Engagement,0,0,7,high,Chennai,ads,25,female,0,1
13,319208.09,24554.46846153846,186,4,High Engagement,0,0,14,medium,Hyderabad,organic,50,female,0,1
0,0.0,0.0,8,4,Medium Engagement,1,0,0,low,Kolkata,ads,41,male,1,0
14,213353.44,15239.531428571428,189,4,High Engagement,0,0,13,medium,Mumbai,ads,41,male,0,1
28,266889.03,9531.75107142857,276,4,High Engagement,0,0,9,medium,Mumbai,ads,30,female,0,1
6,31365.09,5227.515,64,4,High Engagement,0,0,10,medium,Bangalore,ads,34,male,0,1
25,366317.27,14652.6908,321,4,High Engagement,0,0,12,medium,Mumbai,organic,41,female,0,1
23,391763.84,17033.21043478261,159,4,High Engagement,0,0,6,high,Delhi,ads,36,female,0,1
0,0.0,0.0,14,4,Medium Engagement,1,0,0,low,Bhubaneswar,ads,51,male,0,0
15,143748.9,9583.26,220,4,High Engagement,0,0,14,medium,Chennai,ads,32,male,0,1
