customer_id,signup_date,customer_segment,location,acquisition_channel,age,gender
C00001,2024-04-12,medium,Bhubaneswar,ads,25,male
C00002,2025-03-11,high,Hyderabad,referral,47,female
C00003,2024-09-27,low,Ahmedabad,organic,46,female
C00004,2024-04-16,medium,Bangalore,organic,38,male
C00005,2024-03-12,high,Hyderabad,referral,37,female
C00006,2025-12-01,high,Chennai,ads,29,male
C00007,2024-01-21,high,Bhubaneswar,ads,27,female
C00008,2025-09-06,high,Kolkata,ads,31,other
C00009,2024-05-01,medium,Kolkata,ads,19,female
C00010,2025-04-11,low,Jaipur,ads,37,female
C00011,2024-08-02,high,Jaipur,referral,35,female
C00012,2024-11-26,high,Chennai,ads,25,female
C00013,2025-04-03,medium,Hyderabad,organic,50,female
C00014,2024-03-28,low,Kolkata,ads,41,male
C00015,2025-01-07,medium,Mumbai,ads,41,male
C00016,2024-04-09,medium,Mumbai,ads,30,female
C00017,2025-10-25,medium,Bangalore,ads,34,male
C00018,2024-05-10,medium,Mumbai,organic,41,female
C00019,2025-10-23,high,Delhi,ads,36,female
C00020,2024-11-04,low,Bhubaneswar,ads,51,male
C00021,2024-12-09,medium,Chennai,ads,32,male
C00022,2025-05-06,medium,Jaipur,ads,29,female
C00023,2025-02-17,low,Delhi,organic,41,female
C00024,2025-01-20,medium,Ahmedabad,ads,22,male
C00025,2024-07-10,medium,Bhubaneswar,ads,44,female
C00026,2024-10-03,medium,Kolkata,ads,21,female
C00027,2024-06-09,high,Bhubaneswar,ads,41,female
C00028,2025-04-04,high,Jaipur,ads,28,female
C00029,2024-11-09,medium,Pune,organic,39,male
C00030,2024-01-22,low,Pune,ads,44,female
C00031,2024-09-09,low,Delhi,organic,36,male
C00032,2025-07-14,medium,Hyderabad,ads,23,male
C00033,2025-04-19,high,Kolkata,organic,26,male
C00034,2024-02-28,high,Jaipur,organic,27,male
C00035,2025-05-25,low,Jaipur,ads,18,female
C00036,2025-11-12,medium,Jaipur,ads,46,male
C00037,2025-04-20,medium,Mumbai,ads,36,female
C00038,2025-11-30,low,Jaipur,ads,23,female
C00039,2024-07-08,low,Pune,ads,49,female
C00040,2025-11-17,low,Ahmedabad,ads,27,female
C00041,2025-07-16,high,Chennai,ads,37,other
C00042,2025-07-20,low,Bhubaneswar,ads,26,male
C00043,2024-08-31,low,Chennai,ads,18,female
C00044,2025-05-19,medium,Pune,ads,21,male
C00045,2024-05-10,medium,Pune,referral,30,female
C00046,2025-04-29,medium,Ahmedabad,organic,43,male
C00047,2025-10-08,low,Bangalore,referral,38,female
C00048,2024-01-21,high,Delhi,organic,36,male
C00049,2024-06-15,medium,Mumbai,organic,18,male
C00050,2024-09-30,high,Hyderabad,organic,47,female
C00051,2025-01-22,low,Jaipur,ads,37,female
C00052,2025-08-23,high,Jaipur,organic,33,male
C00053,2024-11-11,medium,Ahmedabad,referral,46,female
C00054,2024-01-14,medium,Bangalore,referral,47,male
C00055,2024-08-29,low,Jaipur,ads,46,female
C00056,2024-12-11,medium,Mumbai,ads,32,female
C00057,2025-07-18,high,Delhi,referral,24,male
C00058,2024-12-05,low,Mumbai,referral,44,male
C00059,2024-04-01,medium,Bangalore,ads,21,male
C00060,2025-01-01,low,Pune,ads,54,male
C00061,2025-03-30,high,Mumbai,ads,35,female
C00062,2025-03-03,medium,Chennai,ads,24,female
C00063,2025-05-23,medium,Mumbai,organic,22,other
C00064,2024-02-04,high,Pune,ads,22,male
C00065,2024-07-24,medium,Jaipur,organic,36,female
C00066,2024-03-21,medium,Bhubaneswar,organic,34,male
C00067,2025-07-15,low,Bhubaneswar,ads,22,female
C00068,2025-01-22,medium,Bhubaneswar,referral,31,male
C00069,2024-01-02,medium,Jaipur,referral,21,other
C00070,2025-01-24,medium,Ahmedabad,ads,40,male
C00071,2025-07-19,low,Delhi,ads,34,female
C00072,2024-04-15,medium,Delhi,organic,31,male
C00073,2025-04-21,medium,Jaipur,ads,22,female
C00074,2025-12-03,medium,Mumbai,organic,31,female
C00075,2025-02-05,medium,Hyderabad,organic,30,female
C00076,2025-12-30,medium,Delhi,ads,38,female
