transaction_id,customer_id,product_id,transaction_date,quantity,price,discount
1,C00001,P0078,2024-05-18,1,30202,0.07
2,C00001,P0007,2024-05-26,3,16826,0.04
3,C00001,P0082,2024-05-22,2,6509,0.05
4,C00001,P0115,2024-08-14,3,7554,0.2
5,C00001,P0065,2024-09-05,1,4389,0.01
6,C00001,P0067,2024-10-04,1,2745,0.03
7,C00001,P0001,2024-11-02,2,4758,0.05
8,C00001,P0092,2024-12-19,2,803,0.13
9,C00001,P0072,2025-01-12,3,42315,0.07
10,C00001,P0087,2025-03-22,1,1522,0.04
11,C00001,P0116,2025-03-22,2,8497,0.07
12,C00001,P0058,2025-03-10,3,450,0.09
13,C00001,P0066,2025-03-03,1,2073,0.0
14,C00001,P0106,2025-03-31,1,1474,0.05
15,C00001,P0081,2025-04-12,1,2835,0.05
16,C00001,P0039,2025-04-20,1,4937,0.06
17,C00001,P0016,2025-05-20,3,14117,0.03
18,C00001,P0100,2025-09-07,2,2523,0.09
19,C00001,P0071,2025-10-02,2,30313,0.12
20,C00001,P0092,2025-10-27,1,803,0.07
21,C00001,P0081,2025-11-18,1,2835,0.09
22,C00001,P0117,2025-11-16,2,22643,0.03
23,C00001,P0107,2025-11-26,3,4638,0.05
24,C00001,P0058,2025-12-07,1,450,0.01
25,C00001,P0067,2025-12-26,3,2745,0.09
26,C00001,P0023,2025-12-07,1,2907,0.06
27,C00001,P0076,2025-12-16,3,6650,0.08
28,C00001,P0013,2026-01-07,1,10349,0.18
29,C00001,P0037,2026-02-23,3,2576,0.17
30,C00001,P0052,2026-02-20,1,2681,0.05
31,C00001,P0100,2026-03-10,2,2523,0.0
32,C00002,P0035,2025-03-20,2,2894,0.11
33,C00002,P0097,2025-03-29,3,6138,0.05
34,C00002,P0067,2025-03-30,1,2745,0.07
35,C00002,P0057,2025-03-25,3,19313,0.05
36,C00002,P0078,2025-04-16,1,30202,0.09
37,C00002,P0026,2025-04-05,3,1435,0.19
38,C00002,P0082,2025-04-25,1,6509,0.02
39,C00002,P0019,2025-04-25,2,4101,0.23
40,C00002,P0019,2025-04-24,3,4101,0.1
41,C00002,P0026,2025-05-01,1,1435,0.05
42,C00002,P0081,2025-05-01,2,2835,0.03
43,C00002,P0099,2025-05-13,2,1702,0.07
44,C00002,P0087,2025-06-01,3,1522,0.01
45,C00002,P0081,2025-06-08,2,2835,0.1
46,C00002,P0056,2025-07-18,2,33217,0.04
47,C00002,P0035,2025-07-30,3,2894,0.04
48,C00002,P0056,2025-07-11,3,33217,0.08
49,C00002,P0044,2025-08-28,1,1799,0.01
50,C00002,P0044,2025-08-31,1,1799,0.04
51,C00002,P0082,2025-08-04,1,6509,0.06
52,C00002,P0057,2025-09-23,2,19313,0.05
53,C00002,P0060,2025-09-16,3,11069,0.08
